"ACCOUNT_KEY","TYPE","LOCATION","PAYMENT"
9000169527,"Customer","Germany -> Central Europe -> East",161
9000111163,"Customer","United Kingdom -> Great Britain -> North",57.5
9000076922,"Customer","France -> France International -> West",517.5
9000068639,"Customer","Romania -> Eastern Europe -> East",57.5
9000110830,"Customer","Austria -> Central Europe -> East",161
9000099245,"Customer","France -> France International -> West",345
9000167206,"Customer","United Kingdom -> Great Britain -> North",57.5
9000164116,"Customer","Italy -> South East Europe -> South",57.5
9000004434,"Customer","United Kingdom -> Great Britain -> North",345
9000045592,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000188749,"Customer","Germany -> Central Europe -> East",57.5
9000039421,"Customer","Poland -> Eastern Europe -> East",241.5
9000142756,"Customer","Germany -> Central Europe -> East",161
9000141189,"Customer","Portugal -> Teleroute Iberica -> South",172.5
9000078867,"Customer","France -> France International -> West",57.5
9000134619,"Customer","Germany -> Central Europe -> East",161
9000042459,"Customer","Germany -> Central Europe -> East",57.5
9000075408,"Customer","France -> France International -> West",57.5
9000183453,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000203127,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000109902,"Customer","Germany -> Central Europe -> East",161
9000001715,"Customer","Latvia -> Eastern Europe -> East",241.5
9000101054,"Customer","Netherlands -> Netherlands -> North",57.5
9000036085,"Customer","United Kingdom -> Great Britain -> North",345
9000181679,"Customer","France -> France International -> West",517.5
9000133405,"Customer","Belgium -> BeLux -> North",115
9000213129,"Customer","Netherlands -> Netherlands -> North",57.5
9000113676,"Customer","United Kingdom -> Great Britain -> North",57.5
9000067508,"Customer","Germany -> Central Europe -> East",161
9000003338,"Customer","Germany -> Central Europe -> East",161
9000169087,"Customer","France -> France International -> West",345
9000156100,"Customer","Sweden -> Nordics -> North",161
9000156554,"Customer","Germany -> Central Europe -> East",57.5
9000057652,"Customer","France -> France International -> West",345
9000179431,"Customer","Belgium -> BeLux -> North",115
9000149200,"Customer","Belgium -> BeLux -> North",115
9000013450,"Customer","Romania -> Eastern Europe -> East",241.5
9000144073,"Customer","Belgium -> BeLux -> North",57.5
9000124454,"Customer","Romania -> Eastern Europe -> East",57.5
9000057052,"Customer","France -> France International -> West",345
9000156968,"Customer","France -> France International -> West",57.5
9000111186,"Customer","France -> France International -> West",517.5
9000161899,"Customer","Belgium -> BeLux -> North",57.5
9000191997,"Customer","Germany -> Central Europe -> East",161
9000078471,"Customer","Netherlands -> Netherlands -> North",322
9000010688,"Customer","France -> France International -> West",345
9000035019,"Customer","France -> France International -> West",345
9000054380,"Customer","Netherlands -> Netherlands -> North",161
9000090466,"Customer","",57.5
9000110239,"Customer","Germany -> Central Europe -> East",161
9000124322,"Customer","Belgium -> BeLux -> North",57.5
9000167020,"Customer","Belgium -> BeLux -> North",115
9000164380,"Customer","France -> France International -> West",517.5
9000170788,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000114132,"Customer","Germany -> Central Europe -> East",57.5
9000208193,"Customer","Germany -> Central Europe -> East",161
9000197411,"Customer","Italy -> South East Europe -> South",57.5
9000118888,"Customer","Portugal -> Teleroute Iberica -> South",172.5
9000030185,"Customer","Lithuania -> Eastern Europe -> East",57.5
9000085107,"Customer","",57.5
9000051675,"Customer","Netherlands -> Netherlands -> North",57.5
9000152970,"Customer","Bulgaria -> Eastern Europe -> East",57.5
9000138346,"Customer","Romania -> Eastern Europe -> East",241.5
9000001710,"Customer","Germany -> Central Europe -> East",161
9000014636,"Customer","Poland -> Eastern Europe -> East",241.5
9000202257,"Customer","Netherlands -> Netherlands -> North",161
9000216706,"Customer","Poland -> Eastern Europe -> East",57.5
9000182045,"Customer","Poland -> Eastern Europe -> East",57.5
9000137758,"Customer","Germany -> Central Europe -> East",161
9000214523,"Customer","France -> France International -> West",517.5
9000086075,"Customer","France -> France International -> West",517.5
9000155336,"Customer","Poland -> Eastern Europe -> East",241.5
9000205908,"Customer","France -> France International -> West",345
9000106699,"Customer","Netherlands -> Netherlands -> North",322
9000020028,"Customer","France -> France International -> West",345
9000089761,"Customer","Switzerland DE -> Central Europe -> East",161
9000168386,"Customer","Romania -> Eastern Europe -> East",241.5
9000065513,"Customer","France -> France International -> West",517.5
9000153563,"Customer","Italy -> South East Europe -> South",345
9000110557,"Customer","Germany -> Central Europe -> East",161
9000203950,"Customer","Germany -> Central Europe -> East",161
9000052673,"Customer","Netherlands -> Netherlands -> North",57.5
9000135844,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000009322,"Customer","Netherlands -> Netherlands -> North",57.5
9000032297,"Customer","Italy -> South East Europe -> South",57.5
9000135583,"Customer","Belgium -> BeLux -> North",57.5
9000106349,"Customer","Romania -> Eastern Europe -> East",241.5
9000091084,"Customer","Netherlands -> Netherlands -> North",322
9000149259,"Customer","France -> France International -> West",517.5
9000197464,"Customer","Italy -> South East Europe -> South",345
9000156760,"Customer","Poland -> Eastern Europe -> East",57.5
9000033958,"Customer","United Kingdom -> Great Britain -> North",345
9000143355,"Customer","Germany -> Central Europe -> East",161
9000177863,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000008956,"Customer","Germany -> Central Europe -> East",161
9000203325,"Customer","France -> France International -> West",345
9000137113,"Customer","France -> France International -> West",345
9000142532,"Customer","France -> France International -> West",517.5
9000114616,"Customer","France -> France International -> West",517.5
9000155253,"Customer","Poland -> Eastern Europe -> East",241.5
9000022994,"Customer","Italy -> South East Europe -> South",345
9000198164,"Customer","France -> France International -> West",57.5
9000181578,"Customer","Netherlands -> Netherlands -> North",57.5
9000185324,"Customer","Netherlands -> Netherlands -> North",322
9000095431,"Customer","Poland -> Eastern Europe -> East",57.5
9000057195,"Customer","Poland -> Eastern Europe -> East",57.5
9000144341,"Customer","Poland -> Eastern Europe -> East",57.5
